date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:52	34467/34467	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:24:51%20GMT	http://localhost:3000/path2path-dashboard	C:/MyWebSites/path2pathnew/localhost_3000/path2path-dashboard.html	(from )
11:24:52	5521/5521	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Apr%202026%2015:24:51%20GMT	http://localhost:3000/robots.txt		(from )
11:24:53	75657/75657	---MCZ	200	added ('OK')	text/css	etag:W/%2212789-19d7401ecde%22	http://localhost:3000/_next/static/chunks/src_app_globals_0p2ml0n.css	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/src_app_globals_0p2ml0n.css	(from http://localhost:3000/path2path-dashboard)
11:24:53	16866/16866	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Apr%202026%2015:24:52%20GMT	http://localhost:3000/next_static/chunks/src_app_globals_0p2ml0n.css	C:/MyWebSites/path2pathnew/localhost_3000/next_static/chunks/src_app_globals_0p2ml0n.3.delayed	(from http://localhost:3000/path2path-dashboard)
11:24:54	675/675	---M--	200	added ('OK')	application/javascript	etag:W/%222a3-19d7401ece1%22	http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/[turbopack]_browser_dev_hmr-client_hmr-client_ts_10z625_._.js	(from http://localhost:3000/path2path-dashboard)
11:24:54	41025/41025	---M--	200	added ('OK')	image/png	etag:W/%22a041-19d7365e6ba%22	http://localhost:3000/wcm-logo.png	C:/MyWebSites/path2pathnew/localhost_3000/wcm-logo.png	(from http://localhost:3000/path2path-dashboard)
11:25:00	174634/174634	---MCZ	200	added ('OK')	application/javascript	etag:W/%222aa2a-19d7401ece1%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js	(from http://localhost:3000/path2path-dashboard)
11:25:00	144344/144344	---MCZ	200	added ('OK')	application/javascript	etag:W/%22233d8-19d7401ece0%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js	(from http://localhost:3000/path2path-dashboard)
11:25:08	246103/246103	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c157-19d7401ecdb%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_115brz8._.js	(from http://localhost:3000/path2path-dashboard)
11:25:10	1984/1984	---MCZ	200	added ('OK')	application/javascript	etag:W/%227c0-19d7401ece0%22	http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_@swc_helpers_cjs_0-4ujiy._.js	(from http://localhost:3000/path2path-dashboard)
11:25:10	756/756	---M--	200	added ('OK')	application/javascript	etag:W/%222f4-19d7401ece0%22	http://localhost:3000/_next/static/chunks/_0rqeker._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/_0rqeker._.js	(from http://localhost:3000/path2path-dashboard)
11:25:14	92351/92351	---MCZ	200	added ('OK')	application/javascript	etag:W/%22168bf-19d7401ece0%22	http://localhost:3000/_next/static/chunks/turbopack-_0p44nws._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/turbopack-_0p44nws._.js	(from http://localhost:3000/path2path-dashboard)
11:25:22	251579/251579	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d6bb-19d7401ece0%22	http://localhost:3000/_next/static/chunks/node_modules_next_0zl6c1m._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_0zl6c1m._.js	(from http://localhost:3000/path2path-dashboard)
11:25:23	6179/6179	---MCZ	200	added ('OK')	application/javascript	etag:W/%221823-19d7401ecdd%22	http://localhost:3000/_next/static/chunks/src_components_NavBar_tsx_0vcsifz._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/src_components_NavBar_tsx_0vcsifz._.js	(from http://localhost:3000/path2path-dashboard)
11:25:23	1057980/1057980	---MCZ	200	added ('OK')	application/javascript	etag:W/%221024bc-19d7401ece2%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah_._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	357/357	---M--	200	added ('OK')	application/javascript	etag:W/%22165-19d7401ece1%22	http://localhost:3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/src_app_layout_tsx_004glpo._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	742815/742815	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b559f-19d8cec7f38%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	241/241	---M--	200	added ('OK')	application/javascript	etag:W/%22f1-19d740278d7%22	http://localhost:3000/_next/static/chunks/src_app_path2path-dashboard_layout_tsx_02ys3zu._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/src_app_path2path-dashboard_layout_tsx_02ys3zu._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	212/212	---M--	200	added ('OK')	application/javascript	etag:W/%22d4-19d740278d7%22	http://localhost:3000/_next/static/chunks/src_app_path2path-dashboard_page_tsx_01xa_1m._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/src_app_path2path-dashboard_page_tsx_01xa_1m._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	21547/21547	---MCZ	200	added ('OK')	application/javascript	etag:W/%22542b-19d740278dc%22	http://localhost:3000/_next/static/chunks/_046ozhv._.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/_046ozhv._.js	(from http://localhost:3000/path2path-dashboard)
11:25:24	212/212	---M--	200	added ('OK')	application/javascript	etag:W/%22d4-19d7401ecdb%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_02ys3zu.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_02ys3zu.js	(from http://localhost:3000/path2path-dashboard)
11:25:25	746570/746570	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b644a-19d8cec7f26%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js	(from http://localhost:3000/path2path-dashboard)
11:25:25	25931/25931	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22654b-19d7365e6bb%22	http://localhost:3000/favicon.ico?favicon.0x3dzn~oxb6tn.ico	C:/MyWebSites/path2pathnew/localhost_3000/faviconbcf9.ico	(from http://localhost:3000/path2path-dashboard)
11:25:26	20074/20074	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:25:25%20GMT	http://localhost:3000/project-requests-public	C:/MyWebSites/path2pathnew/localhost_3000/project-requests-public.html	(from http://localhost:3000/path2path-dashboard)
11:25:29	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-19d7401ece0%22	http://localhost:3000/_next/static/chunks/node_modules_next_dist_build_polyfills_polyfill-nomodule.js	C:/MyWebSites/path2pathnew/localhost_3000/_next/static/chunks/node_modules_next_dist_build_polyfills_polyfill-nomodule.js	(from http://localhost:3000/path2path-dashboard)
11:25:30	50370/50370	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:25:26%20GMT	http://localhost:3000/	C:/MyWebSites/path2pathnew/localhost_3000/index.html	(from http://localhost:3000/path2path-dashboard)
11:25:31	44228/44228	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:25:26%20GMT	http://localhost:3000/people	C:/MyWebSites/path2pathnew/localhost_3000/people.html	(from http://localhost:3000/path2path-dashboard)
11:25:31	18206/18206	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Apr%202026%2015:25:27%20GMT	http://localhost:3000/publications	C:/MyWebSites/path2pathnew/localhost_3000/publications.html	(from http://localhost:3000/path2path-dashboard)
